Algorithm,Approved States,Memory (MB),Map Level,Time (s),Count Push Box,Count Move
Euclidean Distance Heuristic,618,66.62890625,24,0.23587846755981445,136,92
Manhattan Distance Heuristic,647,66.6015625,24,0.09805607795715332,142,92
Breadth First Search,688,66.53515625,24,0.08295106887817383,148,92
Depth First Search,484,66.515625,24,0.07795500755310059,97,92
Greedy Best First Search,618,66.53515625,24,0.26538729667663574,136,92
Depth Limited Search,484,66.50390625,24,0.08094906806945801,97,92
Uniform Cost Search,688,66.5234375,24,0.11593222618103027,148,92
