Algorithm,Approved States,Memory (MB),Map Level,Time (s),Count Push Box,Count Move
Euclidean Distance Heuristic,2643,88.171875,15,1.1880676746368408,437,139
Manhattan Distance Heuristic,3887,88.2421875,15,0.7607800960540771,671,153
