Algorithm,Approved States,Memory (MB),Map Level,Time (s),Count Push Box,Count Move
Euclidean Distance Heuristic,2102,66.83984375,2,0.5281972885131836,379,131
Manhattan Distance Heuristic,2495,67.3125,2,0.31482744216918945,459,103
Breadth First Search,5150,72.37109375,2,0.6749248504638672,1024,95
Depth First Search,2954,70.95703125,2,0.2901322841644287,501,143
Greedy Best First Search,2102,71.05078125,2,0.5198116302490234,379,131
Depth Limited Search,2954,71.01171875,2,0.24786853790283203,500,143
Uniform Cost Search,5252,71.23046875,2,0.4525947570800781,1038,97
