Algorithm,Approved States,Memory (MB),Map Level,Time (s),Count Push Box,Count Move
Euclidean Distance Heuristic,1084,71.28125,3,0.2517998218536377,349,30
Manhattan Distance Heuristic,3466,71.2890625,3,0.4724409580230713,1399,48
Breadth First Search,8231,75.0234375,3,0.8739850521087646,3311,30
Depth First Search,9666,75.05859375,3,0.9548883438110352,4094,162
Greedy Best First Search,1084,75.046875,3,0.24126148223876953,349,30
Depth Limited Search,9664,75.0,3,0.6823019981384277,4093,162
Uniform Cost Search,7325,75.0625,3,0.6616523265838623,2972,32
