Algorithm,Approved States,Memory (MB),Map Level,Time (s),Count Push Box,Count Move
Euclidean Distance Heuristic,10196,78.6484375,5,3.4048216342926025,3459,60
Manhattan Distance Heuristic,75916,160.6015625,5,9.06359076499939,31665,56
Breadth First Search,146978,220.05859375,5,21.222702503204346,59370,56
Depth First Search,170089,219.30859375,5,19.94737482070923,70619,70
Greedy Best First Search,10196,199.78515625,5,3.1439521312713623,3459,60
Depth Limited Search,170037,218.00390625,5,14.473208665847778,70587,70
Uniform Cost Search,136480,213.28125,5,25.13846206665039,54687,56
