Algorithm,Approved States,Memory (MB),Map Level,Time (s),Count Push Box,Count Move
Euclidean Distance Heuristic,1013,88.25390625,14,0.421372652053833,160,105
Manhattan Distance Heuristic,1587,88.12109375,14,0.2364482879638672,258,111
