Algorithm,Approved States,Memory (MB),Map Level,Time (s),Count Push Box,Count Move
Euclidean Distance Heuristic,30366,103.58203125,4,22.23353862762451,8651,142
Manhattan Distance Heuristic,32367,105.265625,4,13.060541868209839,9318,132
Breadth First Search,51882,126.24609375,4,7.144393682479858,15289,66
Depth First Search,50722,125.546875,4,10.271055459976196,14829,272
Greedy Best First Search,30272,117.078125,4,23.21659541130066,8620,142
Depth Limited Search,46054,110.375,4,7.346649408340454,13402,272
Uniform Cost Search,51713,124.40625,4,10.416201114654541,15280,66
