Algorithm,Approved States,Memory (MB),Map Level,Time (s),Count Push Box,Count Move
Euclidean Distance Heuristic,964,65.3125,29,0.39156031608581543,232,27
Manhattan Distance Heuristic,1100,65.5390625,29,0.2019035816192627,278,44
Breadth First Search,1740,66.55859375,29,0.3580048084259033,457,27
Depth First Search,1209,66.578125,29,0.25319838523864746,291,35
Greedy Best First Search,964,66.59765625,29,0.27794575691223145,232,27
Depth Limited Search,1209,66.57421875,29,0.17290282249450684,289,35
Uniform Cost Search,1706,66.58203125,29,0.2088179588317871,454,27
